Id,Chinese,Roman,English,Type
SJ6YP2BP,密碼越複雜越安全。,mat6 maa5 jyut6 fuk1 zaap6 jyut6 on1 cyun4.,"The more complex the password is, the more secure it is.",
9EDBVPKE,哦，咁改成六個九啦。,"o4, gam2 goi2 sing4 luk6 go3 gau2 laa1.",You're right. Make it six nines.,
O51FHM7M,,,##Vocabulary,
0R4LQ1C4,檢查,gim2 caa4,to check,verb
61NF1E7R,信用卡,seon3 jung6 kaat1,credit card,noun
VM22MJ1L,提款卡,tai4 fun2 kaat1,debit card,noun
JYN9O5B4,儲蓄卡,cyu5 cuk1 kaat1,saving card,noun
TCIYGT0E,重新,cung4 san1,once again,verb
GMJDIQ2B,修改,sau1 goi2,to change,verb
KQT69MS4,複雜,fuk1 zaap6,complicated,adjective
OY59FTOE,密碼,mat6 maa5,password,noun
22CK8X3J,銀行卡,ngan4 hong4 kaat1,bank card,noun
M1TVWP55,,,##Sample Sentences,
1FJSC3LP,檢查下你個戶口裡面有幾多錢。,gim2 caa4 haa5 nei5 go3 wu6 hau2 leoi5 min6 jau5 gei2 do1 cin2.,Check how much money is in your account.,
384WX885,你張信用卡用唔到。,nei5 zoeng1 seon3 jung6 kaat1 jung6 m4 dou2.,Your credit card can't be used.,
ZV9K9KZS,依張係一張提款卡，唔係信用卡。,"ji1 zoeng1 hai6 jat1 zoeng1 tai4 fun2 kaat1, m4 hai6 seon3 jung6 kaat1.","This is a debit card, not a credit card.",
M3L8NRH8,插張儲蓄卡喺依部櫃員機。,caap3 zoeng1 cyu5 cuk1 kaat1 hai2 ji1 bou6 gwai6 jyun4 gei1.,Insert your saving card to use this ATM.,
0YL66KOI,你要重新開過一次機。,nei5 jiu3 cung4 san1 hoi1 gwo3 jat1 ci6 gei1.,You have to restart the machine again.,
PXNLYYB2,佢力求喺演唱會上重新演繹呢首 歌。,keoi5 lik6 kau4 hai2 jin2 coeng3 wui5 soeng6 cung4 san1 jin2 jik6 ni1 sau2 go1.,He is trying to give a new performance of the song in his concert.,
CH69NUQO,你應該要修改你個密碼。,nei5 jing1 goi1 jiu3 sau1 goi2 nei5 go3 mat6 maa5.,You need to change your password.,
XLE7KAVM,依兩個國家之間嘅關係好複雜。,ji1 loeng5 go3 gwok3 gaa1 zi1 gaan1 ge3 gwaan1 hai6 hou2 fuk1 zaap6.,These two countries have a very complicated relationship.,
HHZWSVAC,你一定要記住呢個密碼。,nei5 jat1 ding6 jiu3 gei3 zyu6 ni1 go3 mat6 maa5.,You've absolutely got to remember this password.,
FLDQU70D,個櫃員機吞咗我張銀行卡。,go3 gwai6 jyun4 gei1 tan1 zo2 ngo5 zoeng1 ngan4 hong4 kaat1.,The ATM ate my bank card.,
A1V72EJI,,,##Grammar,
FBTSZIC9,越多越好,jyut6 do1 jyut6 hou2,The more the better.,
1O4F30YK,越貴越好,jyut6 gwai3 jyut6 hou2,The more expensive the better.,
DZ1GEXKU,越長越好,jyut6 coeng4 jyut6 hou2,The longer the better.,
RFXFP39C,經驗越多越好。,ging1 jim6 jyut6 do1 jyut6 hou2。,"When it comes to experience, more is generally better.",
WE42D9T6,密碼越長越好。,mat6 maa5 jyut6 coeng4 jyut6 hou2。,"When it comes to your password, the longer it is the better it is.",
YAOQYQ6M,買嘢嘅時候，越平越唔好。,"maai5 je5 ge3 si4 hau6 ,  jyut6 peng4 jyut6 m4 hou2。","When you're buying things, it's important to realize that the cheaper something is the worse quality it is.",
